hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-1460,4074,별이성형외과,의원,서울특별시,강남구,청담동,홍왕광,"서울특별시 강남구 도산대로 443 청담빌딩 3,4층","중국,"
BE_LiST21-1461,4055,허윞업신경외과의원,의원,서울특별시,강남구,도곡1동,안계훈,서울특별시 강남구 강남대로 254 용문빌딩 4층,"중국,러시아,몽골,"
BE_LiST21-1462,4052,더마주피부과의원,의원,서울특별시,강남구,삼성1동,김주영,서울특별시 강남구 영동대로 607 랜드마크빌딩,"미국,일본,중국,러시아,중동,몽골,베트남,"
BE_LiST21-1463,4081,아이템의원피부과,의원,서울특별시,강남구,논현1동,이진화,서울특별시 강남구 도산대로 134,"미국,중국,"
BE_LiST21-1464,4078,정다운임치과의원,치과의원,서울특별시,중랑구,중화2동,강철규,"중랑구 중랑역로 51, 대종빌딩 3층",
BE_LiST21-1465,4084,스타동안피부과의원,의원,서울특별시,서초구,잠원동,최호철,서울시 서초구 잠원동 6-1 리버사이드호텔 5층 스타동원피부과의원,
BE_LiST21-1466,4088,디테일의원,의원,서울특별시,강남구,논현2동,김진명,서울시 강남구 논현동 61-6번지 지안빌딩 2층,"일본,중국,몽골,"
BE_LiST21-1467,4083,압구정현치과의원,치과의원,서울특별시,강남구,신사동,박현,서울특별시 강남구 압구정로 164 아세아빌딩,
BE_LiST21-1326,3747,제이엠제이의원,의원,서울특별시,강남구,압구정동,박주연,서울특별시 강남구 신사동 659-13 3층,"중국,러시아,"
BE_LiST21-1327,3763,담의원,의원,서울특별시,강남구,삼성1동,김홍두,서울특별시 강남구 삼성로126길 6 보고재빌딩 B2,"미국,중국,"
BE_LiST21-1328,3767,씨앤씨피부과,의원,서울특별시,서초구,서초4동,서광석,서울특별시 서초구 서초중앙로24길 27 G-5 센트럴프라자 202호,"미국,일본,중국,"
BE_LiST21-1329,3804,현명의원,의원,서울특별시,중구,소공동,김상현외1명,서울특별시 중구 서소문로 120 ENA빌딩 3층,"중국,몽골,베트남,"
